Segment ID,Parent Segment ID,Current Segment ID,Segment Name,From,To,Segment Description
0,-1,0,Segments,,,
1,0,1528162827837768441,CVS,,,
2,1,2018742109389826648,Active Scanning,,,
3,2,2913543673952291644,CVS Enterprise - Active,,,
4,3,3180351389181598155,Retail - Active Scanning,,,
5,4,3320733923609017293,Qvlan Test,10.224.245.0,10.224.245.255,
5,4,3320733923609017293,Qvlan Test,10.224.246.0,10.224.246.127,
6,4,7513581654398413651,RI,,,
7,6,1319166367093453493,1 CVS Drive,,,
8,7,2637486134471544063,HQ Bldg 3 subnets,,,
9,8,5047387999311382259,BLDG 3 - Data,,,
10,9,8000252893972521269,HQ BLDG3 - T3-8-SW03 - Data-10.31.92.0,10.195.19.0,10.195.19.255,
11,8,3715883267603568118,BLDG 3 - Data[1],,,
12,11,1137861141091707974,HQ BLDG3 - T3-8-SW02 - Data-10.31.88.0,10.195.188.64,10.195.188.127,
13,8,2626831465302306391,BLDG 3 - Data[2],,,
14,13,1045102400889725238,HQ BLDG3 - T3-8-SW01 - Data-10.31.84.0,10.195.188.31,10.195.188.31,
15,8,6589872313357327114,BLDG 3 - Voice,,,
16,15,7840031216882247847,HQ BLDG3 - T3-8-SW03 - Voip-10.31.94.0,10.195.190.0,10.195.191.255,
17,8,7238272567459945241,BLDG 3 - Voice[1],,,
18,17,7271697091568446971,HQ BLDG3 - T3-8-SW02 - Voip-10.31.90.0,10.195.189.0,10.195.189.255,
19,8,6688884104933461593,BLDG 3 - Voice[2],,,
20,19,2765889648099470084,HQ BLDG3 - T3-8-SW01 - Voip-10.31.86.0,10.195.188.32,10.195.188.63,
21,6,2586436250322436411,1 CVS Drive[1],,,
22,21,2714357088889904897,HQ Bldg 3 subnets[1],,,
23,22,1972324646367823142,BLDG 3 - Data[3],,,
24,23,5915205992634324330,HQ BLDG3 - T3-7-SW03 - Data-10.31.72.0,10.195.184.0,10.195.187.255,
25,23,2632758407195469448,HQ BLDG3 - T3-7-SW04 - Data-10.31.76.0,10.195.188.0,10.195.188.31,
26,22,3080702126628192186,BLDG 3 - Data[4],,,
27,26,7975272974855315421,HQ BLDG3 - T3-7-SW02 - Data-10.31.68.0,10.195.18.32,10.195.18.63,
28,22,6637512163668271368,BLDG 3 - Data[5],,,
29,28,2262940808222218895,HQ BLDG3 - T3-7-SW01 - Data-10.31.64.0,10.195.18.0,10.195.18.31,
30,22,4043697933416374860,BLDG 3 - Voice[3],,,
31,30,8157190687198165947,HQ BLDG3 - T3-7-SW02 - Voip-10.31.70.0,10.195.18.64,10.195.18.127,
32,22,5658544747906765571,BLDG 3 - Voice[4],,,
33,32,3713352896237800410,HQ BLDG3 - T3-7-SW01 - Voip-10.31.66.0,10.195.18.128,10.195.18.255,
34,6,3623275831470657008,1 CVS Drive[2],,,
35,34,6026277135978270275,HQ Bldg 3 subnets[2],,,
36,35,5167978184188234265,BLDG 3 - Data[6],,,
37,36,1900185208795968870,HQ BLDG3 - T2-8-SW02 - Data-10.31.48.0,10.195.172.0,10.195.173.255,
38,35,7943734342076892996,BLDG 3 - Data[7],,,
39,38,8455606765666728885,HQ BLDG3 - T2-8-SW01 - Data-10.31.44.0,10.195.170.0,10.195.171.255,
40,35,6146181579486226186,BLDG 3 - Voice[5],,,
41,40,5729066849851144400,HQ BLDG3 - T2-8-SW02 - Voip-10.31.50.0,10.195.174.0,10.195.175.255,
42,35,6079115876821714009,BLDG 3 - Voice[6],,,
43,42,3793501246276183521,HQ BLDG3 - T2-8-SW01 - Voip-10.31.46.0,10.195.170.1,10.195.170.126,
44,6,4642813981650724495,1 CVS Drive[3],,,
45,44,8120563838289942646,HQ Bldg 3 subnets[3],,,
46,45,7652794334920732648,BLDG 3 - Data[8],,,
47,46,1520121326169182505,HQ BLDG3 - T2-7-SW02 - Data-10.31.28.0,10.195.165.0,10.195.165.255,
48,45,3483237452965416677,BLDG 3 - Voice[7],,,
49,48,1854371018384483686,HQ BLDG3 - T2-7-SW02 - Voip-10.31.30.0,10.195.168.0,10.195.169.255,
50,45,3339679269201424911,BLDG 3 - Voice[8],,,
51,50,1090109558878601661,HQ BLDG3 - T2-7-SW01 - Voip-10.31.26.0,10.195.164.1,10.195.164.254,
52,44,2902216318932036966,HQ Bldg 3 subnets[4],,,
53,52,2883365714108156891,BLDG 3 - Data[9],,,
54,53,5489570501004516926,HQ BLDG3 - T2-7-SW01 - Data-10.31.24.0,10.195.163.1,10.195.163.254,
55,44,8181946594579913711,WiFi - 1 CVS and Surrounding -10.31.248.0,10.195.164.0,10.195.167.255,
56,6,4973053057410311159,1 CVS Drive[4],,,
57,56,7775986598507018208,HQ Bldg 3 subnets[5],,,
58,57,4120089763340061541,BLDG 3 - Data[10],,,
59,58,1539481069890194402,165,10.195.160.0,10.195.160.255,
60,6,5974935423366217010,1 CVS Drive[5],,,
61,60,7458661524887768890,HQ Bldg 3 subnets[6],,,
62,61,5312786105825797147,BLDG 3 - Data[11],,,
